table_id,num_classes,feature_column,global_node_id,layer,node_in_layer,feature_type,cardinality,observation_type,gt_importance,single_feature_balanced_accuracy,permutation_importance,drop_column_importance
0,2,0,17,2,0,continuous,0,continuous_scalar,0.08676842762327489,0.4930555555555556,0.09027777777777779,0.0625
0,2,1,19,2,2,categorical,3,prototype_discretization,0.001021299559007184,0.5,0.00277777777777779,0.0
0,2,2,12,1,4,categorical,3,threshold_binning,0.13240004186578744,0.6527777777777778,0.001388888888888906,0.006944444444444531
0,2,3,1,0,1,continuous,0,continuous_scalar,0.24600206153197335,0.625,0.023611111111111138,0.03472222222222221
0,2,4,2,0,2,continuous,0,continuous_scalar,0.07708133984404464,0.5208333333333334,0.011111111111111117,0.03472222222222221
0,2,5,22,2,5,categorical,6,prototype_discretization,0.17786145505657658,0.6805555555555556,0.01527777777777779,0.05555555555555558
0,2,6,18,2,1,continuous,0,continuous_scalar,0.24130846429208946,0.5763888888888888,0.17638888888888893,0.16666666666666663
0,2,7,21,2,4,continuous,0,continuous_scalar,0.03755691022724644,0.3819444444444444,0.03888888888888893,0.03472222222222221
1,4,0,2,0,2,continuous,0,continuous_scalar,0.0003591057438973021,0.28013689526847424,-0.00959595959595958,-0.03472222222222221
1,4,1,32,3,5,continuous,0,continuous_scalar,0.005165798806879331,0.7153774587985114,-0.010732323232323204,0.002525252525252597
1,4,2,5,0,5,continuous,0,continuous_scalar,0.18003126113292403,0.5277777777777778,-0.011489898989898984,-0.02083333333333337
1,4,3,27,3,0,continuous,0,continuous_scalar,0.02485823884298412,0.36273923444976075,0.023212387028176518,0.01388888888888895
1,4,4,19,2,1,continuous,0,continuous_scalar,0.0014492713847955362,0.25299043062200954,0.0029040404040404644,0.0
1,4,5,20,2,2,continuous,0,continuous_scalar,0.012840689473878038,0.2879120148856991,-0.01073232323232327,-0.02083333333333337
1,4,6,35,3,8,continuous,0,continuous_scalar,0.15225885076414497,0.8422713981924508,0.033712121212121235,-0.011363636363636354
1,4,7,9,1,1,categorical,2,prototype_discretization,0.007652534735331213,0.30492424242424243,0.007323232323232354,0.002525252525252597
1,4,8,4,0,4,continuous,0,continuous_scalar,0.030615004170220728,0.3519072301967039,-0.010984848484848464,-0.06691919191919193
1,4,9,1,0,1,continuous,0,continuous_scalar,0.0013509223286608558,0.2546517809675704,0.0037878787878787845,-0.039141414141414144
1,4,10,24,2,6,continuous,0,continuous_scalar,0.16468442184679835,0.7703017012227539,0.056944444444444464,-0.04356060606060608
1,4,11,13,1,5,continuous,0,continuous_scalar,0.41048924141423115,0.6990629984051038,-0.01262626262626263,-0.018308080808080773
1,4,12,29,3,2,continuous,0,continuous_scalar,0.008244659355254341,0.23790536948431684,-0.006439393939393944,0.023358585858585856
2,3,0,28,3,3,continuous,0,continuous_scalar,0.03493261800903203,0.4533475783475784,0.06688034188034184,0.012820512820512775
2,3,1,25,3,0,continuous,0,continuous_scalar,0.05198803679613865,0.2795584045584046,0.004415954415954393,0.031339031339031376
2,3,2,3,0,3,continuous,0,continuous_scalar,0.1045503569090832,0.443019943019943,-0.010897435897435904,-0.01388888888888884
2,3,3,8,1,0,continuous,0,continuous_scalar,0.13814999523404972,0.28062678062678065,0.025498575498575482,-0.007834757834757844
2,3,4,0,0,0,continuous,0,continuous_scalar,0.05025577676218166,0.34437321937321935,-0.041239316239316315,-0.059116809116809055
2,3,5,26,3,1,continuous,0,continuous_scalar,0.14738960948484864,0.6363960113960114,0.24415954415954416,-0.059116809116809055
2,3,6,13,1,5,continuous,0,continuous_scalar,0.11833173345149359,0.5381054131054132,0.011680911680911654,0.0
2,3,7,16,2,1,continuous,0,continuous_scalar,0.06046242797090484,0.4836182336182336,-0.01509971509971506,-0.026709401709401837
2,3,8,9,1,1,categorical,3,threshold_binning,0.016170697708408847,0.3162393162393163,-0.00512820512820511,-0.026709401709401837
2,3,9,15,2,0,categorical,4,prototype_discretization,0.013368839746646129,0.29914529914529914,0.0,-0.01388888888888884
2,3,10,32,3,7,continuous,0,continuous_scalar,0.017127026319090962,0.3543447293447293,-0.0183760683760684,-0.026709401709401837
2,3,11,14,1,6,continuous,0,continuous_scalar,0.13588676210942616,0.3397435897435897,0.030911680911680905,0.004629629629629761
2,3,12,21,2,6,continuous,0,continuous_scalar,0.08164863501317965,0.3376068376068376,0.07307692307692304,-0.006766381766381779
2,3,13,2,0,2,continuous,0,continuous_scalar,0.02973748448551592,0.40883190883190884,-0.011111111111111072,-0.040598290598290676
3,2,0,4,0,4,continuous,0,continuous_scalar,0.01632433368877626,0.4959514170040486,0.013157894736842035,0.0
3,2,1,10,1,2,categorical,3,threshold_binning,4.42189662226527e-05,0.4888663967611336,0.0,0.013157894736842035
3,2,2,26,3,2,continuous,0,continuous_scalar,0.001982802738827352,0.5394736842105263,0.0,0.0
3,2,3,13,1,5,continuous,0,continuous_scalar,0.001050747105939681,0.4736842105263158,0.0,0.0
3,2,4,23,2,7,continuous,0,continuous_scalar,0.345659222837943,0.9736842105263157,0.01315789473684208,0.0
3,2,5,9,1,1,continuous,0,continuous_scalar,0.005548281075819312,0.6234817813765182,0.0,0.0
3,2,6,7,0,7,continuous,0,continuous_scalar,0.20149373813412652,0.9544534412955465,0.007894736842105222,0.0
3,2,7,28,3,4,continuous,0,continuous_scalar,0.0045777218905168155,0.49493927125506076,0.0,0.0
3,2,8,18,2,2,continuous,0,continuous_scalar,0.0035469997331369876,0.5141700404858299,0.0,0.0
3,2,9,25,3,1,continuous,0,continuous_scalar,0.18329284908028384,0.9736842105263157,0.010526315789473672,0.013157894736842035
3,2,10,14,1,6,continuous,0,continuous_scalar,0.2298221565919904,0.986842105263158,0.007894736842105222,0.013157894736842035
3,2,11,19,2,3,continuous,0,continuous_scalar,0.00386322472235556,0.5020242914979758,0.0,0.0
3,2,12,20,2,4,continuous,0,continuous_scalar,0.0027937034340616445,0.8441295546558705,0.005263157894736814,0.0
4,3,0,30,3,6,continuous,0,continuous_scalar,0.06923303912721362,0.4271428571428572,0.040857142857142856,0.0
